Code,Area,Unem_WhiteUK_2012,Unem_WhitenotUK_2012,Unem_MinorUK_2012,Unem_MinornotUK_2012,EInActive_WhiteUK_2012,EInActive_WhitenotUK_2012,EInActive_MinorUK_2012,EInActive_MinornotUK_2012
00AB,Barking and Dagenham,16.4,9.3,15.1,12.1,30.4,10.9,28.8,28.2
00AC,Barnet,9.5,6.4,11.5,13,24.6,21.2,25.4,32.5
00AD,Bexley,5.9,0,0,10.4,19.8,24.4,27.7,24.4
00AE,Brent,11.3,3.4,13.9,12.4,21.7,16.3,30,27.5
00AF,Bromley,5,0,16.5,7.7,20.6,24.9,12.4,25.6
00AG,Camden,5.7,6.9,16.3,9.4,23,28.4,28.2,39
00AH,Croydon,7.8,0,21.6,12.6,19.1,16.4,17.6,22.8
00AJ,Ealing,11,3.1,27.7,13.7,18.1,12.5,29.6,33.1
00AK,Enfield,9.4,9.6,14.8,10.4,28.1,28.3,23.5,31.6
00AL,Greenwich,9.8,6.6,12.3,14.2,22.1,15.7,24.2,26.2
00AM,Hackney,3.3,9.6,10,22.2,15.4,28.5,40.2,44.1
00AN,Hammersmith and Fulham,8.1,5,19.9,11.6,23.5,20.4,21.9,30.8
00AP,Haringey,4.9,6.2,15.1,14.9,21.3,29.5,22.8,41.3
00AQ,Harrow,6.8,5.4,7.6,10.3,17.3,17.3,21.9,25.8
00AR,Havering,8.8,12.1,16.9,0,24.5,17.2,15,28
00AS,Hillingdon,8,0,17.7,13.8,22.7,24.2,22.5,21.8
00AT,Hounslow,6,9.1,14.5,5.5,17.1,17.9,23.5,30.1
00AU,Islington,6.7,6.5,18.5,12.6,20.7,37.9,36.1,30.8
00AW,Kensington and Chelsea,2.2,3.4,17,10.5,27.1,27.4,35.6,41.1
00AX,Kingston upon Thames,5.8,4.4,0,12,16.8,26.1,37.8,39.4
00AY,Lambeth,7.5,4.9,19,22.1,15.3,23.6,23.9,29
00AZ,Lewisham,6.6,8.6,15.8,15.1,21,17.4,29.4,33.6
00BA,Merton,4.7,3.4,17.9,11.8,19.5,20.4,30.8,21.2
00BB,Newham,4.7,3.6,17,19.9,33.6,13.2,32.8,30.5
00BC,Redbridge,3.9,9.3,15.4,8.4,26.4,19.6,29.8,31.7
00BD,Richmond upon Thames,5.2,0,0,12.3,20.9,17.5,25.1,20.8
00BE,Southwark,6.6,8.2,20.6,12.1,23,10.4,28.5,30.7
00BF,Sutton,6.7,11.5,0,5.3,19.5,20.9,23.9,18.5
00BG,Tower Hamlets,5,4.5,15.6,20.2,17.8,13.3,52,36.7
00BH,Waltham Forest,6.7,6.5,17.6,10.6,22.4,15.4,29.2,32.9
00BJ,Wandsworth,2.9,4.9,21.7,19,16.5,14.8,28.1,35.9
00BK,Westminster,4.8,7.8,12.8,12.5,18.2,19.2,45.7,42.5
