Code,Area,Unem_WhiteUK_2013,Unem_WhitenotUK_2013,Unem_MinorUK_2013,Unem_MinornotUK_2013,EInActive_WhiteUK_2013,EInActive_WhitenotUK_2013,EInActive_MinorUK_2013,EInActive_MinornotUK_2013
00AB,Barking and Dagenham,14.2,10.1,19.8,13.8,31.9,17,22.5,21.3
00AC,Barnet,2.3,5.1,8.7,10.8,22.3,21.4,20.4,30.8
00AD,Bexley,5.8,11.3,0,20.4,19.7,21.5,0,26.3
00AE,Brent,9.1,4.1,13.6,10.8,23.8,13.9,27.2,28.2
00AF,Bromley,6.6,0,0,0,20.8,16.5,19.5,14.5
00AG,Camden,6.6,5.5,11.3,8.7,24.6,17.5,40.8,50.5
00AH,Croydon,6.6,0,9.7,13.1,17.8,15.6,25.9,20.3
00AJ,Ealing,9.3,3.6,25.1,12,18.8,18.4,34.1,29.9
00AK,Enfield,6.4,8.6,14.2,6.9,26.8,28.6,22.8,29
00AL,Greenwich,9.6,0,20.5,12.9,31.9,18.7,18.9,27
00AM,Hackney,5.9,8.5,12.2,20.7,18.2,25.8,38.5,40.6
00AN,Hammersmith and Fulham,4.1,2.7,9.5,17.8,21.1,19.5,23.5,40.7
00AP,Haringey,4.4,3,18.2,16.2,19.3,25.7,23.3,38.1
00AQ,Harrow,6.2,9.1,12.3,11.4,18.5,19.4,26.2,29.7
00AR,Havering,7.6,15.2,22.1,0,23.3,17.1,25.5,21.9
00AS,Hillingdon,7.6,0,14.1,8.5,23,25.2,21.4,22.4
00AT,Hounslow,5.7,2.6,13.5,10.9,17.3,19.7,17.5,22.2
00AU,Islington,7.6,7.1,17.1,11.9,16.3,21,40.2,40
00AW,Kensington and Chelsea,4.5,2.2,23.1,12.1,26.6,29.2,30.7,33
00AX,Kingston upon Thames,5.4,8,0,7.3,18.2,21.5,33.1,26.9
00AY,Lambeth,3.7,4.9,19,18.6,12.3,10.6,19.9,28.6
00AZ,Lewisham,9.9,4.8,15.6,14.4,17.6,20.1,13.7,29.2
00BA,Merton,5.3,0,16.5,4.6,15.2,14.3,40.9,28.2
00BB,Newham,11.2,0,15.7,13.9,32.9,14.2,36.5,28.7
00BC,Redbridge,4.9,7.2,19.9,11.5,23.8,13.7,24.6,28.8
00BD,Richmond upon Thames,3,2.7,0,9.6,19,18.8,24.7,26.3
00BE,Southwark,6.9,8.6,31.4,13,23.4,19.5,40.1,31.4
00BF,Sutton,5.4,10.1,0,8.1,14.2,12.8,45.2,19.5
00BG,Tower Hamlets,7,7.3,30.4,14.1,18.4,11.2,29.6,39.9
00BH,Waltham Forest,8.2,4.6,12.7,6.1,18.6,14.8,27.8,31.7
00BJ,Wandsworth,5.6,8.5,30.4,13.2,16.4,14.8,22.1,24.5
00BK,Westminster,5.3,4.2,10.9,8,18.9,21.7,42.8,42.2
